,comunidad_08,promedio_score,miembros,contaminados_iniciales,promedio_total_pago_f29,nulos_total_pago_f29,promedio_IVA_neto,nulos_IVA_neto,promedio_n_documentos,nulos_n_documentos,promedio_lifetime,nulos_lifetime,moda_unidad_regional,frecuencia_unidad_regional,comunidad,perct_emision_extra,perct_recepcion_extra,emision_extragrupo,recepcion_extragrupo,tasa_emision_extra_intra
461,462,0.02413833991077068,5,0,195606.0,4,232815.4,0,15.0,4,2996.0,4,SANTIAGO CENTRO,5,462.0,0.012103951584193664,0.43431358822213534,12920.0,809607.0,0.012252252252252252
462,463,0.0,5,0,4148552.0,4,-723211.4,0,21.0,4,1499.0,4,SANTIAGO PONIENTE,5,463.0,0.3396388952532839,,376523.0,,0.5143229860328519
463,464,0.0264720126860483,4,0,122571.0,3,539182.5,0,13.0,3,1049.0,3,SANTIAGO PONIENTE,4,464.0,0.6635627301254657,0.8389129640539043,726998.0,1919604.0,1.9723223005968529
464,465,0.025839188174020825,4,0,98559.0,3,777411.0,0,22.0,3,1952.0,3,8VA UNIDAD REGIONAL BIO BIO,4,465.0,0.3851595661059582,0.8984214166787416,93100.0,1314466.0,0.6264382510866786
465,466,0.01565090273944455,4,0,553124.0,3,3140898.5,0,279.0,3,1261.0,3,3RA UNIDAD REGIONAL ATACAMA,4,466.0,0.9998849072243058,0.9999041981351243,70065838.0,84176100.0,8687.642653440793
466,467,0.034185146371237374,4,0,0.0,3,589679.25,0,26.0,3,1666.0,3,SANTIAGO PONIENTE,4,467.0,,0.34954084229023646,,1735723.0,
467,468,0.0,4,0,5242868.666666667,1,-840513.75,0,16.0,3,2833.25,0,SANTIAGO ORIENTE,4,468.0,,,,,
468,469,0.02045145471477255,4,0,585384.0,3,315545.75,0,28.0,3,1994.0,3,SANTIAGO SUR,4,469.0,0.4913956099058656,0.3579302274074118,414532.0,239179.0,0.9661647037984007
469,470,0.0253795947453154,4,0,15282133.333333334,1,-14027320.25,0,86.0,1,2964.5,2,7MA UNIDAD REGIONAL MAULE,4,470.0,0.7768656131317407,0.41076937972136496,17756143.0,3555347.0,3.4816041760090073
470,471,0.0,4,0,5.25,0,-1335836.0,0,7.75,0,1581.0,0,SANTIAGO PONIENTE,4,,,,,,
471,472,0.09128354243048822,4,0,16451811.0,3,3272998.0,0,11.0,3,1271.5,2,7MA UNIDAD REGIONAL MAULE,4,472.0,,0.25941573500608284,,9908632.0,
472,473,2.40543070850238e-05,4,0,283915.0,3,-54411.0,0,17.0,3,,4,SANTIAGO CENTRO,4,473.0,,0.0017680380593455933,,152.0,
473,474,0.0229346656023904,4,0,3556689.0,3,-735153.5,0,100.0,3,1249.0,3,2DA UNIDAD REGIONAL ANTOFAGASTA,4,474.0,0.975209792566852,0.2877522544098965,1345377.0,13817.0,39.338508771929824
474,475,0.02219044860559105,4,0,99992.0,2,780829.25,0,62.5,2,2394.0,3,SANTIAGO ORIENTE,4,475.0,0.4583217003370384,0.6828627536647416,707530.0,1800537.0,0.8461141984499128
475,476,0.3333333333333333,4,1,204.66666666666666,1,1394356.5,0,17.5,0,1298.0,3,10MA UNIDAD REGIONAL LOS LAGOS,4,,,,,,
