RUT_SOCIEDAD,CAPITAL,UTILIDADES
v3ql+RZZnFAvdRaeWthZBA==,94.39999999999998,94.39999999999998
A+uOrDlsEIuVLK7WGBxb1Q==,91.80000000000005,127.0
Qe78ed2rvBUKqNBCeayulw==,90.0,90.0
tCtUAtlB4gyVyORoMvfYbQ==,109.0,109.0
TLWr8vIUglM6GjOKdY0ZhA==,90.0,90.0
VEkj77GHyZ38UXYwnZXoWg==,109.0,109.0
yvEXh23TdMXgWiAPvE992g==,109.0,109.0
a4fr5P/PUcnA841bi+CLCg==,93.23999999999997,93.23999999999997
qOSt1UXr2/zRuXZwZUg4Uw==,90.0,90.0
gby1iEG1C+7SW+p7DlrmoA==,90.63000000000001,90.63000000000001
nBoFFY3OY92B2TeJYEn8SA==,90.0,90.0
cc2nJXV4yiSrFzylJJpZMw==,90.0,90.0
FhBSyWFAzWlnpx9xIKNj6g==,110.0,110.0
rj6ZqRSgk8/9XVXboTpqjw==,90.74,90.74
g2lOeTHBPEY41bXxGiNOQw==,90.0,90.0
QPVeTx18v8vsLeBKkQdRrg==,90.05,90.05
i43JSRDNvap+tLHFuCiCLw==,110.0,100.0
d93tV2ssAdMYL7eAMfBMOw==,90.91,90.91
dsgJvC/kKSqxU/fUodmRCg==,109.0,109.0
djk+N5bNZhhXmuXv8XVHUQ==,110.0,110.0
0NjQdfVHoAO/SEKm96YazA==,90.0,90.0
VinYD4salOuTwc982nea2Q==,90.0,90.0
brBWQahGndXg4RnOMtYd3g==,109.0,109.0
9PNBH8yHC7+fbkWGaE2rLw==,90.0,90.0
9Cb9dPdNp4ipEp1NiellRg==,110.0,110.0
MAeHdgJmh3+z4u+gocBXBA==,110.0,110.0
Q5IbzaBDo7rIQ0wPpeQjVA==,91.63,91.63
LPeBjLdaJvPeUYu831CBoQ==,92.0,92.0
